ID	Submission Date	Name	Team	Eligible	Censor	Number of Calls (Censored)	True Positives (Censored)	False Negatives (Censored)	Sensitivity (Censored)	Precision (Censored)	Balanced Accuracy (Censored)	Number of Calls (All)	True Positives (All)	False Negatives (All)	Sensitivity (All)	Precision (All)	Balanced Accuracy (All)
2511098	2014-07-14 06:02:25	QSS10_somatic_14072014	cd34	TRUE	Mask	6867	6607	5257	0.5569	0.9621	0.7595	9499	9142	7126	0.5620	0.9624	0.7622
2511100	2014-07-14 06:03:12	QSS10_noise_somatic_14072014	cd34	TRUE	Mask	6867	6607	5257	0.5569	0.9621	0.7595	9499	9142	7126	0.5620	0.9624	0.7622
2518435	2014-07-17 04:04:56	all_somatic_17072014	cd34	TRUE	Mask	6867	6607	5257	0.5569	0.9621	0.7595	9499	9142	7126	0.5620	0.9624	0.7622
2510297	2014-07-11 14:39:13	LoFreq Somatic: g951e435	LoFreq Somatic - GIS	TRUE	Mask	6873	6598	5266	0.5561	0.9600	0.7581	9515	9148	7120	0.5623	0.9614	0.7619
2528586	2014-07-25 15:47:05	CASpoint.ss	Cancerevo	TRUE	Mask	8445	7476	4388	0.6301	0.8853	0.7577	11719	10370	5898	0.6374	0.8849	0.7612
2511088	2014-07-14 05:57:07	filter4413_somatic_14072014	cd34	TRUE	Mask	6826	6571	5293	0.5539	0.9626	0.7583	9439	9092	7176	0.5589	0.9632	0.7611
2511092	2014-07-14 05:58:50	filter8814_QSS6_noise_somatic_14072014	cd34	TRUE	Mask	6819	6566	5298	0.5534	0.9629	0.7582	9430	9086	7182	0.5585	0.9635	0.7610
2511094	2014-07-14 05:59:57	filter8814_QSS8_somatic_14072014	cd34	TRUE	Mask	6819	6566	5298	0.5534	0.9629	0.7582	9430	9086	7182	0.5585	0.9635	0.7610
2511096	2014-07-14 06:00:46	filter8814_QSS10_somatic_14072014	cd34	TRUE	Mask	6819	6566	5298	0.5534	0.9629	0.7582	9430	9086	7182	0.5585	0.9635	0.7610
2511086	2014-07-14 05:56:12	filter8814_somatic_14072014	cd34	TRUE	Mask	6821	6566	5298	0.5534	0.9626	0.7580	9432	9086	7182	0.5585	0.9633	0.7609
2511090	2014-07-14 05:58:07	filter5514_somatic_14072014	cd34	TRUE	Mask	6821	6566	5298	0.5534	0.9626	0.7580	9432	9086	7182	0.5585	0.9633	0.7609
2533516	2014-07-28 05:42:13	CASpoint.s2_filt6	Cancerevo	TRUE	Mask	7770	7108	4756	0.5991	0.9148	0.7570	10757	9851	6417	0.6055	0.9158	0.7607
2527115	2014-07-24 02:52:19	passed_somatic_snv_LOH_24072014	cd34	TRUE	Mask	6887	6607	5257	0.5569	0.9593	0.7581	9534	9142	7126	0.5620	0.9589	0.7604
2528539	2014-07-25 14:30:35	CASpoint.s2_filt3	Cancerevo	TRUE	Mask	7712	7060	4804	0.5951	0.9155	0.7553	10736	9830	6438	0.6043	0.9156	0.7599
2527119	2014-07-24 04:16:21	karkinos_submit5	Karkinos Test Team	TRUE	Mask	8740	7609	4255	0.6414	0.8706	0.7560	12083	10533	5735	0.6475	0.8717	0.7596
2511743	2014-07-15 20:49:40	varScan.snv.v1	WashU	TRUE	Mask	6415	6276	5588	0.5290	0.9783	0.7537	8903	8727	7541	0.5365	0.9802	0.7583
2546931	2014-07-31 05:34:34	CASpoint.s3_filt3	Cancerevo	TRUE	Mask	10261	8225	3639	0.6933	0.8016	0.7474	14112	11368	4900	0.6988	0.8056	0.7522
2518455	2014-07-17 07:10:42	filter8814_somatic_pass_17072014	cd34	TRUE	Mask	9229	7749	4115	0.6532	0.8396	0.7464	12688	10708	5560	0.6582	0.8439	0.7511
2523485	2014-07-22 02:25:01	filter5514_somatic__pass_22072014	cd34	TRUE	Mask	9229	7749	4115	0.6532	0.8396	0.7464	12688	10708	5560	0.6582	0.8439	0.7511
2523495	2014-07-22 02:30:27	filter8814_somatic_pass_pass_22072014	cd34	TRUE	Mask	9229	7749	4115	0.6532	0.8396	0.7464	12688	10708	5560	0.6582	0.8439	0.7511
2506861	2014-06-30 09:08:24	mutect_noise	SLC_platform	TRUE	Mask	6047	5996	5868	0.5054	0.9916	0.7485	8335	8267	8001	0.5082	0.9918	0.7500
2520039	2014-07-21 09:20:29	Dream_Set4_MuSE_Setting4	Wang-Wheeler-HGSC	TRUE	Mask	10054	8143	3721	0.6864	0.8099	0.7481	13839	11191	5077	0.6879	0.8087	0.7483
5578701	2016-01-06 15:35:44	Strelka_uncorrected	SMC_Admins	FALSE	Mask	8781	7406	4458	0.6242	0.8434	0.7338	11901	10251	6017	0.6301	0.8614	0.7457
2519525	2014-07-19 07:16:10	CASpoint.s1	Cancerevo	TRUE	Mask	7480	6802	5062	0.5733	0.9094	0.7413	10367	9438	6830	0.5802	0.9104	0.7453
2559866	2014-08-02 20:50:22	VarDict_filter	AstraZeneca	TRUE	Mask	11727	8739	3125	0.7366	0.7452	0.7409	16121	12063	4205	0.7415	0.7483	0.7449
2520033	2014-07-21 09:19:33	Dream_Set4_MuSE_Setting1	Wang-Wheeler-HGSC	TRUE	Mask	6386	6162	5702	0.5194	0.9649	0.7422	8818	8500	7768	0.5225	0.9639	0.7432
2547617	2014-07-31 20:48:26	CARNAC3	Wang-Wheeler-HGSC	TRUE	Mask	6775	6360	5504	0.5361	0.9387	0.7374	9371	8800	7468	0.5409	0.9391	0.7400
2546941	2014-07-31 08:07:18	CASpoint.s3_filt4	Cancerevo	TRUE	Mask	10650	8230	3634	0.6937	0.7728	0.7332	14610	11365	4903	0.6986	0.7779	0.7383
2559955	2014-08-02 23:54:20	Dream_Set4_MuSE_Setting15	Wang-Wheeler-HGSC	TRUE	Mask	10778	8302	3562	0.6998	0.7703	0.7350	14873	11462	4806	0.7046	0.7707	0.7376
2518654	2014-07-17 18:59:12	MuTectLL	Broad SMC	TRUE	Mask	15337	9813	2051	0.8271	0.6398	0.7335	20945	13464	2804	0.8276	0.6428	0.7352
2533183	2014-07-28 03:07:13	CASpoint.s2_filt4	Cancerevo	TRUE	Mask	9673	7787	4077	0.6564	0.8050	0.7307	13371	10782	5486	0.6628	0.8064	0.7346
2547631	2014-07-31 21:35:33	CARNAC4	Wang-Wheeler-HGSC	TRUE	Mask	6869	6360	5504	0.5361	0.9259	0.7310	9511	8800	7468	0.5409	0.9252	0.7331
2511547	2014-07-15 13:54:33	CASpoint-submit2	Cancerevo	TRUE	Mask	7286	6585	5279	0.5550	0.9038	0.7294	10151	9157	7111	0.5629	0.9021	0.7325
2511974	2014-07-16 14:58:25	CASpoint-submit3	Cancerevo	TRUE	Mask	7621	6762	5102	0.5700	0.8873	0.7286	10603	9393	6875	0.5774	0.8859	0.7316
2519519	2014-07-19 04:48:26	CASpoint.n2	Cancerevo	TRUE	Mask	6409	6044	5820	0.5094	0.9430	0.7262	8911	8397	7871	0.5162	0.9423	0.7292
2546804	2014-07-31 02:15:48	CARNAC2	Wang-Wheeler-HGSC	TRUE	Mask	6827	6282	5582	0.5295	0.9202	0.7248	9454	8704	7564	0.5350	0.9207	0.7279
2538078	2014-07-30 00:15:42	CARNAC1	Wang-Wheeler-HGSC	TRUE	Mask	6337	5961	5903	0.5024	0.9407	0.7216	8766	8270	7998	0.5084	0.9434	0.7259
2520037	2014-07-21 09:20:13	Dream_Set4_MuSE_Setting3	Wang-Wheeler-HGSC	TRUE	Mask	6444	6045	5819	0.5095	0.9381	0.7238	8894	8343	7925	0.5128	0.9380	0.7254
2510929	2014-07-13 15:37:05	CASpoint	Cancerevo	TRUE	Mask	6375	5988	5876	0.5047	0.9393	0.7220	8882	8319	7949	0.5114	0.9366	0.7240
2511795	2014-07-16 01:29:33	VarDict_Default	AstraZeneca	TRUE	Mask	7934	6825	5039	0.5753	0.8602	0.7177	10946	9456	6812	0.5813	0.8639	0.7226
2511807	2014-07-16 03:46:41	VarDict_Default	AstraZeneca	TRUE	Mask	7934	6825	5039	0.5753	0.8602	0.7177	10946	9456	6812	0.5813	0.8639	0.7226
2510272	2014-07-11 09:44:47	karkinos_test	Karkinos Test Team	TRUE	Mask	5852	5620	6244	0.4737	0.9604	0.7170	8147	7831	8437	0.4814	0.9612	0.7213
2559935	2014-08-02 23:22:45	Dream_Set4_MuSE_Setting14	Wang-Wheeler-HGSC	TRUE	Mask	12541	8734	3130	0.7362	0.6964	0.7163	17238	12029	4239	0.7394	0.6978	0.7186
2519517	2014-07-19 04:47:36	CASpoint.n1	Cancerevo	TRUE	Mask	6514	6008	5856	0.5064	0.9223	0.7144	9058	8362	7906	0.5140	0.9232	0.7186
6130760	2016-06-01 19:16:05	snv.strelka.set4	OICR-GSI	FALSE	Mask	8551	7109	4755	0.5992	0.8314	0.7153	11880	9859	6409	0.6060	0.8299	0.7180
2523483	2014-07-22 02:21:26	filter4413_somatic__pass_22072014	cd34	TRUE	Mask	11091	8146	3718	0.6866	0.7345	0.7105	15234	11240	5028	0.6909	0.7378	0.7144
2548663	2014-08-01 09:58:46	CASpoint.s2-grig0	Cancerevo	TRUE	Mask	10478	7879	3985	0.6641	0.7520	0.7080	14449	10885	5383	0.6691	0.7533	0.7112
2528457	2014-07-25 04:03:21	CASpoint.t1+	Cancerevo	TRUE	Mask	9593	7498	4366	0.6320	0.7816	0.7068	13283	10399	5869	0.6392	0.7829	0.7111
2523497	2014-07-22 02:33:03	all_somatic_pass_22072014	cd34	TRUE	Mask	11433	8195	3669	0.6907	0.7168	0.7038	15697	11306	4962	0.6950	0.7203	0.7076
2527117	2014-07-24 02:53:49	all_somatic_snv_LOH_24072014	cd34	TRUE	Mask	11453	8195	3669	0.6907	0.7155	0.7031	15732	11306	4962	0.6950	0.7187	0.7068
2502792	2014-06-18 17:31:21	strelka	SMC_Admins	TRUE	Mask	8907	7109	4755	0.5992	0.7981	0.6987	12241	9860	6408	0.6061	0.8055	0.7058
2519562	2014-07-19 11:59:40	CASpoint.s1+	Cancerevo	TRUE	Mask	8476	6913	4951	0.5827	0.8156	0.6991	11761	9583	6685	0.5891	0.8148	0.7019
2559692	2014-08-02 17:44:56	guacamole.stock	hammerlab	TRUE	Mask	8493	6867	4997	0.5788	0.8085	0.6937	11680	9491	6777	0.5834	0.8126	0.6980
2505745	2014-06-26 20:07:36	nRex_a	DellyTeam	TRUE	Mask	5447	5180	6684	0.4366	0.9510	0.6938	7518	7166	9102	0.4405	0.9532	0.6968
2518937	2014-07-18 14:38:29	dmut0.set4.0_5	DMUT	TRUE	Mask	5597	5271	6593	0.4443	0.9418	0.6930	7705	7252	9016	0.4458	0.9412	0.6935
2825462	2014-11-17 12:13:34	somac-syn4-c50-17Nov2014	somac	FALSE	Mask	14217	8789	3075	0.7408	0.6182	0.6795	19649	12098	4170	0.7437	0.6157	0.6797
2875307	2014-11-26 17:39:30	Strelka_raw_default	SMC_Admins	FALSE	Mask	9588	7109	4755	0.5992	0.7414	0.6703	13130	9860	6408	0.6061	0.7510	0.6785
2519560	2014-07-19 11:39:17	CASpoint.s1+0	Cancerevo	TRUE	Mask	11358	7821	4043	0.6592	0.6886	0.6739	15736	10834	5434	0.6660	0.6885	0.6772
2528443	2014-07-25 02:27:05	CASpoint.s2++	Cancerevo	TRUE	Mask	8649	6738	5126	0.5679	0.7790	0.6735	11971	9337	6931	0.5739	0.7800	0.6770
2527151	2014-07-24 09:47:22	karkinos_submit7	Karkinos Test Team	TRUE	Mask	9014	6794	5070	0.5727	0.7537	0.6632	12416	9394	6874	0.5775	0.7566	0.6670
2562835	2014-08-03 04:38:26	guacamole.sense1	hammerlab	TRUE	Mask	9396	6892	4972	0.5809	0.7335	0.6572	12875	9524	6744	0.5854	0.7397	0.6626
2559898	2014-08-02 22:28:38	Dream_Set4_MuSE_Setting13	Wang-Wheeler-HGSC	TRUE	Mask	16032	8948	2916	0.7542	0.5581	0.6562	22004	12332	3936	0.7581	0.5604	0.6592
2527144	2014-07-24 08:04:46	karkinos_submit6	Karkinos Test Team	TRUE	Mask	9315	6783	5081	0.5717	0.7282	0.6500	12839	9387	6881	0.5770	0.7311	0.6541
5578713	2016-01-06 15:36:39	somaticsniper_uncorrected	SMC_Admins	FALSE	Mask	6585	5456	6408	0.4599	0.8285	0.6442	8886	7517	8751	0.4621	0.8459	0.6540
2524262	2014-07-22 22:24:05	varScan.snv.v3	WashU	TRUE	Mask	11678	7594	4270	0.6401	0.6503	0.6452	16123	10541	5727	0.6480	0.6538	0.6509
2510262	2014-07-11 06:49:00	nRex_b	DellyTeam	TRUE	Mask	6630	5489	6375	0.4627	0.8279	0.6453	9104	7593	8675	0.4667	0.8340	0.6504
2546833	2014-07-31 04:12:11	CASpoint.s3_filt1	Cancerevo	TRUE	Mask	18132	9274	2590	0.7817	0.5115	0.6466	24844	12786	3482	0.7860	0.5147	0.6503
2538133	2014-07-30 10:00:43	CASpoint.s2_filt10	Cancerevo	TRUE	Mask	17442	9081	2783	0.7654	0.5206	0.6430	23862	12524	3744	0.7699	0.5249	0.6474
2518931	2014-07-18 14:02:07	nRex_c	DellyTeam	TRUE	Mask	6667	5482	6382	0.4621	0.8223	0.6422	9147	7567	8701	0.4651	0.8273	0.6462
2538145	2014-07-30 10:35:33	CASpoint.s3	Cancerevo	TRUE	Mask	15735	8642	3222	0.7284	0.5492	0.6388	21558	11935	4333	0.7336	0.5536	0.6436
2875304	2014-11-26 17:38:53	somaticsniper_raw_default	SMC_Admins	FALSE	Mask	6413	5288	6576	0.4457	0.8246	0.6351	8714	7289	8979	0.4481	0.8365	0.6423
2502793	2014-06-18 17:32:15	somaticsniper	SMC_Admins	TRUE	Mask	6413	5288	6576	0.4457	0.8246	0.6351	8714	7289	8979	0.4481	0.8365	0.6423
2538093	2014-07-30 03:31:39	CASpoint.s2_filt9	Cancerevo	TRUE	Mask	17098	8873	2991	0.7479	0.5189	0.6334	23393	12237	4031	0.7522	0.5231	0.6377
5709972	2016-03-06 15:52:55	mutationseq_correctedTN	SMC_Admins	FALSE	Mask	7127	5601	6263	0.4721	0.7859	0.6290	9668	7707	8561	0.4738	0.7972	0.6355
2825340	2014-11-17 09:21:34	somac-syn4-nbrawsvml-17Nov2014	somac	FALSE	Mask	4826	4334	7530	0.3653	0.8981	0.6317	6700	6022	10246	0.3702	0.8988	0.6345
2825464	2014-11-17 12:13:53	somac-syn4-c50svml-17Nov2014	somac	FALSE	Mask	12973	7810	4054	0.6583	0.6020	0.6302	17958	10813	5455	0.6647	0.6021	0.6334
2518845	2014-07-18 08:23:49	CASpoint-lc	Cancerevo	TRUE	Mask	13283	7834	4030	0.6603	0.5898	0.6250	18287	10863	5405	0.6678	0.5940	0.6309
2819431	2014-11-11 10:16:26	somac-syn4-fdrplus-11Nov2014	somac	FALSE	Mask	4349	4001	7863	0.3372	0.9200	0.6286	6050	5560	10708	0.3418	0.9190	0.6304
2559751	2014-08-02 18:37:52	Dream_Set4_MuSE_Setting11	Wang-Wheeler-HGSC	TRUE	Mask	15954	8287	3577	0.6985	0.5194	0.6090	21794	11383	4885	0.6997	0.5223	0.6110
5578704	2016-01-06 15:35:58	mutationseq_corrected	SMC_Admins	FALSE	Mask	17553	8268	3596	0.6969	0.4710	0.5840	22266	11388	4880	0.7000	0.5115	0.6057
2812388	2014-11-06 15:06:10	somac-newfdr	somac	FALSE	Mask	4709	4047	7817	0.3411	0.8594	0.6003	6514	5621	10647	0.3455	0.8629	0.6042
2559610	2014-08-02 14:42:17	Dream_Set4_MuSE_Setting9	Wang-Wheeler-HGSC	TRUE	Mask	27057	9931	1933	0.8371	0.3670	0.6021	36911	13622	2646	0.8373	0.3690	0.6032
2518530	2014-07-17 15:30:21	CASpoint-submit4	Cancerevo	TRUE	Mask	9236	6096	5768	0.5138	0.6600	0.5869	12657	8471	7797	0.5207	0.6693	0.5950
5578899	2016-01-06 19:26:21	MuTect_corrected	SMC_Admins	FALSE	Mask	23651	8919	2945	0.7518	0.3771	0.5644	28587	12253	4015	0.7532	0.4286	0.5909
2518532	2014-07-17 15:31:12	CASpoint-submit5	Cancerevo	TRUE	Mask	9917	6202	5662	0.5228	0.6254	0.5741	13557	8635	7633	0.5308	0.6369	0.5839
5709969	2016-03-06 15:51:59	Strelka_correctedTN	SMC_Admins	FALSE	Mask	7328	4878	6986	0.4112	0.6657	0.5384	9619	6724	9544	0.4133	0.6990	0.5562
2518534	2014-07-17 15:32:07	CASpoint-submit6	Cancerevo	TRUE	Mask	11710	6368	5496	0.5367	0.5438	0.5403	15931	8857	7411	0.5444	0.5560	0.5502
5709965	2016-03-06 15:51:46	MuTect_correctedTN	SMC_Admins	FALSE	Mask	11993	6357	5507	0.5358	0.5301	0.5329	15754	8727	7541	0.5365	0.5540	0.5452
2828459	2014-11-18 00:23:28	somac-syn4-nb95svml-17Nov2014	somac	FALSE	Mask	7441	4875	6989	0.4109	0.6552	0.5330	10152	6759	9509	0.4155	0.6658	0.5406
2550731	2014-08-01 19:54:49	snvmix2.0.99	DaBear	TRUE	Mask	12768	6336	5528	0.5341	0.4962	0.5151	17454	8820	7448	0.5422	0.5053	0.5237
5578896	2016-01-06 19:25:51	Strelka_corrected	SMC_Admins	FALSE	Mask	21024	7383	4481	0.6223	0.3512	0.4867	25620	10217	6051	0.6280	0.3988	0.5134
2550720	2014-08-01 19:52:36	somaticsniper.1e-5	DaBear	TRUE	Mask	8403	5015	6849	0.4227	0.5968	0.5098	11528	6911	9357	0.4248	0.5995	0.5122
6041709	2016-05-06 21:22:19	snv.synthetic.challenge.set4	OICR-GSI	FALSE	Mask	597	550	11314	0.0464	0.9213	0.4838	812	755	15513	0.0464	0.9298	0.4881
2559699	2014-08-02 18:06:56	Dream_Set4_MuSE_Setting10	Wang-Wheeler-HGSC	TRUE	Mask	14781	6164	5700	0.5196	0.4170	0.4683	20201	8440	7828	0.5188	0.4178	0.4683
2518904	2014-07-18 11:23:27	CASpoint.test	Cancerevo	TRUE	Mask	16579	6214	5650	0.5238	0.3748	0.4493	22503	8624	7644	0.5301	0.3832	0.4567
5709976	2016-03-06 15:53:07	somaticsniper_correctedTN	SMC_Admins	FALSE	Mask	6271	3530	8334	0.2975	0.5629	0.4302	8305	4802	11466	0.2952	0.5782	0.4367
2559919	2014-08-02 22:57:13	TEST_SNV_V1	UIUC	TRUE	Mask	6922	3520	8344	0.2967	0.5085	0.4026	9481	4906	11362	0.3016	0.5175	0.4095
5578710	2016-01-06 15:36:26	somaticsniper_corrected	SMC_Admins	FALSE	Mask	19291	5444	6420	0.4589	0.2822	0.3705	24089	7501	8767	0.4611	0.3114	0.3862
2526448	2014-07-23 15:58:35	Dream_Set4_MuSE_Setting7	Wang-Wheeler-HGSC	TRUE	Mask	2276	1476	10388	0.1244	0.6485	0.3865	3154	2034	14234	0.1250	0.6449	0.3850
6130065	2016-05-31 20:48:44	snv.muTect.set4	OICR-GSI	FALSE	Mask	1091	733	11131	0.0618	0.6719	0.3668	1412	997	15271	0.0613	0.7061	0.3837
2547670	2014-08-01 00:46:53	varscan2.default	DaBear	TRUE	Mask	23511	5154	6710	0.4344	0.2192	0.3268	31909	7096	9172	0.4362	0.2224	0.3293
2525377	2014-07-23 04:50:30	Dream_Set4_MuSE_Setting5	Wang-Wheeler-HGSC	TRUE	Mask	6751	2451	9413	0.2066	0.3631	0.2848	9338	3376	12892	0.2075	0.3615	0.2845
2526446	2014-07-23 15:58:16	Dream_Set4_MuSE_Setting6	Wang-Wheeler-HGSC	TRUE	Mask	3908	1634	10230	0.1377	0.4181	0.2779	5413	2262	14006	0.1390	0.4179	0.2785
2518923	2014-07-18 12:47:41	SOMAC_chi2	somac	TRUE	Mask	75771	3425	8439	0.2887	0.0452	0.1669	103668	4737	11531	0.2912	0.0457	0.1684
2518927	2014-07-18 13:05:54	SOMAC_fdr	somac	TRUE	Mask	2639	668	11196	0.0563	0.2531	0.1547	3546	878	15390	0.0540	0.2476	0.1508
2559824	2014-08-02 18:54:47	Dream_Set4_MuSE_Setting12	Wang-Wheeler-HGSC	TRUE	Mask	10645	1478	10386	0.1246	0.1388	0.1317	14511	2026	14242	0.1245	0.1396	0.1321
2825440	2014-11-17 11:34:48	somac-syn4-svmrl-17Nov2014	somac	FALSE	Mask	127	29	11835	0.0024	0.2283	0.1154	180	39	16229	0.0024	0.2167	0.1095
2825438	2014-11-17 11:34:29	somac-syn4-svmr-17Nov2014	somac	FALSE	Mask	163	29	11835	0.0024	0.1779	0.0902	227	39	16229	0.0024	0.1718	0.0871
2815996	2014-11-08 09:12:25	test	Bioinformatics_Lab	FALSE	Mask	6	0	11864	0.0000	0.0000	0.0000	6	0	16268	0.0000	0.0000	0.0000
.	.	MuTect2	CRUK-CI	FALSE	Mask	9560	9040	2824	0.7620	0.9456	0.8538	13097	12432	3836	0.7642	0.9492	0.8567
.	.	MuTect2 filter set 1	CRUK-CI	FALSE	Mask	9007	8849	3015	0.7459	0.9825	0.8642	12396	12194	4074	0.7496	0.9837	0.8666
.	.	MuTect2 filter set 2	CRUK-CI	FALSE	Mask	6478	6420	5444	0.5411	0.9910	0.7661	8927	8858	7410	0.5445	0.9923	0.7684
.	.	MuTect2 PoN blacklist	CRUK-CI	FALSE	Mask	9184	9036	2828	0.7616	0.9839	0.8728	12621	12425	3843	0.7638	0.9845	0.8741
.	.	MuTect2 PoN + fs1	CRUK-CI	FALSE	Mask	8911	8845	3019	0.7455	0.9926	0.8691	12278	12187	4081	0.7491	0.9926	0.8709
.	.	Strelka	CRUK-CI	FALSE	Mask	7335	6796	5068	0.5728	0.9265	0.7497	10131	9440	6828	0.5803	0.9318	0.7560
.	.	CaVEMan Sanger GGP	CRUK-CI	FALSE	Mask	8255	7002	4862	0.5902	0.8482	0.7192	11363	9674	6594	0.5947	0.8514	0.7230
.	.	MuSE	CRUK-CI	FALSE	Mask	7087	6711	5153	0.5657	0.9469	0.7563	9764	9261	7007	0.5693	0.9485	0.7589
