"","country","continent","year","lifeExp","pop","gdpPercap","popInMillions"
"409","Denmark","Europe",1952,70.8,4334000,9692.385245,4.334
"1373","Slovak Republic","Europe",1972,70.3,4593433,9674.167626,4.593433
"360","Costa Rica","Americas",2007,78.8,4133884,9645.06142,4.133884
"909","Libya","Africa",1992,68.8,4364501,9640.138501,4.364501
"725","Iran","Asia",1972,55.2,30614000,9613.818607,30.614
"991","Mexico","Americas",1982,67.4,71640904,9611.147541,71.640904
"1279","Romania","Europe",1982,69.7,22356726,9605.314053,22.356726
"1014","Montenegro","Europe",1977,73.1,560073,9595.929905,0.560073
"737","Iraq","Asia",1972,57,10061506,9576.037596,10.061506
"1636","Venezuela","Americas",1967,63.5,9709552,9541.474188,9.709552
"911","Libya","Africa",2002,72.7,5368585,9534.677467,5.368585
"749","Ireland","Europe",1972,71.3,3024400,9530.772896,3.0244
"1230","Poland","Europe",1977,70.7,34621254,9508.141454,34.621254
"1377","Slovak Republic","Europe",1992,71.4,5302888,9498.467723,5.302888
"993","Mexico","Americas",1992,71.5,88111030,9472.384295,88.11103
"910","Libya","Africa",1997,71.6,4759670,9467.446056,4.75967
"53","Argentina","Americas",1972,67.1,24779799,9443.038526,24.779799
"1384","Slovenia","Europe",1967,69.2,1646912,9405.489397,1.646912
"519","Finland","Europe",1962,68.8,4491443,9371.842561,4.491443
"1278","Romania","Europe",1977,69.5,21658597,9356.39724,21.658597
"676","Hungary","Europe",1967,69.5,10223422,9326.64467,10.223422
"1341","Serbia","Europe",1992,71.7,9826397,9325.068238,9.826397
"875","Lebanon","Asia",2002,71,3677780,9313.93883,3.67778
"57","Argentina","Americas",1992,71.9,33958947,9308.41871,33.958947
"1416","South Africa","Africa",2007,49.3,43997828,9269.657808,43.997828
"1020","Montenegro","Europe",2007,74.5,684736,9253.896111,0.684736
"686","Iceland","Europe",1957,73.5,165110,9244.001412,0.16511
"731","Iran","Asia",2002,69.5,66907826,9240.761975,66.907826
"1630","Uruguay","Americas",1997,74.2,3262838,9230.240708,3.262838
"377","Croatia","Europe",1972,69.6,4225310,9164.090127,4.22531
"56","Argentina","Americas",1987,70.8,31620918,9139.671389,31.620918
"1253","Puerto Rico","Americas",1972,72.2,2847132,9123.041742,2.847132
"1555","Trinidad and Tobago","Americas",1982,68.8,1116479,9119.528607,1.116479
"1232","Poland","Europe",1987,71,37740710,9082.351172,37.74071
"180","Brazil","Americas",2007,72.4,190010647,9065.800825,190.010647
"1241","Portugal","Europe",1972,69.3,8970450,9022.247417,8.97045
"983","Mauritius","Africa",2002,72,1200206,9021.815894,1.200206
"55","Argentina","Americas",1982,69.9,29341374,8997.897412,29.341374
"396","Cuba","Americas",2007,78.3,11416987,8948.102923,11.416987
"1081","Netherlands","Europe",1952,72.1,10381988,8941.571858,10.381988
"736","Iraq","Asia",1967,54.5,8519282,8931.459811,8.519282
"74","Austria","Europe",1957,67.5,6965860,8842.59803,6.96586
"59","Argentina","Americas",2002,74.3,38331121,8797.640716,38.331121
"1558","Trinidad and Tobago","Americas",1997,69.5,1138101,8792.573126,1.138101
"874","Lebanon","Asia",1997,70.3,3430388,8754.96385,3.430388
"992","Mexico","Americas",1987,69.5,80122492,8688.156003,80.122492
"530","France","Europe",1957,68.9,44310863,8662.834898,44.310863
"870","Lebanon","Asia",1977,66.1,3115787,8659.696836,3.115787
"166","Botswana","Africa",1997,52.6,1536536,8647.142313,1.536536
"1643","Venezuela","Americas",2002,72.8,24287670,8605.047831,24.28767
"1361","Singapore","Asia",1972,69.5,2152400,8597.756202,2.1524
"1411","South Africa","Africa",1982,58.2,31140029,8568.266228,31.140029
"848","Korea, Rep.","Asia",1987,69.8,41622000,8533.088805,41.622
"1465","Sweden","Europe",1952,71.9,7124673,8527.844662,7.124673
"592","Greece","Europe",1967,71,8716441,8513.097016,8.716441
"1584","Turkey","Europe",2007,71.8,71158647,8458.276384,71.158647
"1231","Poland","Europe",1982,71.3,36227381,8451.531004,36.227381
"381","Croatia","Europe",1992,72.5,4494013,8447.794873,4.494013
"1635","Venezuela","Americas",1962,60.8,8143375,8422.974165,8.143375
"1372","Slovak Republic","Europe",1967,71,4442238,8412.902397,4.442238
"760","Israel","Asia",1967,70.8,2693585,8393.741404,2.693585
"544","Gabon","Africa",1967,44.6,489004,8358.761987,0.489004
"109","Belgium","Europe",1952,68,8730405,8343.105127,8.730405
"735","Iraq","Asia",1962,51.5,7240260,8341.737815,7.24026
"665","Hong Kong, China","Asia",1972,72,4115700,8315.928145,4.1157
"730","Iran","Asia",1997,68,63327987,8263.590301,63.327987
"398","Czech Republic","Europe",1957,69,9513758,8256.343918,9.513758
"771","Italy","Europe",1962,69.2,50843200,8243.58234,50.8432
"188","Bulgaria","Europe",1987,71.3,8971958,8239.854824,8.971958
"187","Bulgaria","Europe",1982,71.1,8892098,8224.191647,8.892098
"1310","Saudi Arabia","Asia",1957,42.9,4419650,8157.591248,4.41965
"1629","Uruguay","Americas",1992,72.8,3149262,8137.004775,3.149262
"179","Brazil","Americas",2002,71,179914212,8131.212843,179.914212
"52","Argentina","Americas",1967,65.6,22934225,8052.953021,22.934225
"1410","South Africa","Africa",1977,55.5,27129932,8028.651439,27.129932
"1277","Romania","Europe",1972,69.2,20662648,8011.414402,20.662648
"1229","Poland","Europe",1972,70.8,33039545,8006.506993,33.039545
"1420","Spain","Europe",1967,71.4,32850275,7993.512294,32.850275
"1336","Serbia","Europe",1967,66.9,7971222,7991.707066,7.971222
"178","Brazil","Americas",1997,69.4,168546719,7957.980824,168.546719
"165","Botswana","Africa",1992,62.7,1342614,7954.111645,1.342614
"1342","Serbia","Europe",1997,72.2,10336594,7914.320304,10.336594
"1554","Trinidad and Tobago","Americas",1977,68.3,1039009,7899.554209,1.039009
"1283","Romania","Europe",2002,71.3,22404337,7885.360081,22.404337
"1412","South Africa","Africa",1987,60.8,35933379,7825.823398,35.933379
"176","Brazil","Americas",1987,65.2,142938076,7807.095818,142.938076
"1013","Montenegro","Europe",1972,70.6,527678,7778.414017,0.527678
"1409","South Africa","Africa",1972,53.7,23935810,7765.962636,23.93581
"1233","Poland","Europe",1992,71,38370697,7738.881247,38.370697
"1631","Uruguay","Americas",2002,75.3,3363085,7727.002004,3.363085
"359","Costa Rica","Americas",2002,78.1,3834934,7723.447195,3.834934
"1415","South Africa","Africa",2002,53.4,44433622,7710.946444,44.433622
"491","Equatorial Guinea","Africa",2002,49.3,495627,7703.4959,0.495627
"191","Bulgaria","Europe",2002,72.1,7661799,7696.777725,7.661799
"1633","Venezuela","Americas",1952,55.1,5439568,7689.799761,5.439568
"990","Mexico","Americas",1977,65,63759976,7674.929108,63.759976
"1272","Reunion","Africa",2007,76.4,798094,7670.122558,0.798094
"748","Ireland","Europe",1967,71.1,2900100,7655.568963,2.9001
"871","Lebanon","Asia",1982,67,3086876,7640.519521,3.086876
"186","Bulgaria","Europe",1977,70.8,8797022,7612.240438,8.797022
"727","Iran","Asia",1982,59.6,43072751,7608.334602,43.072751
"285","Chile","Americas",1992,74.1,13572994,7596.125964,13.572994
"675","Hungary","Europe",1962,68,10063000,7550.359877,10.063
"518","Finland","Europe",1957,67.5,4324000,7545.415386,4.324
"392","Cuba","Americas",1987,74.2,10239839,7532.924763,10.239839
"869","Lebanon","Asia",1972,65.4,2680018,7486.384341,2.680018
"1371","Slovak Republic","Europe",1962,70.3,4237384,7481.107598,4.237384
"1414","South Africa","Africa",1997,60.2,42835005,7479.188244,42.835005
"1536","Thailand","Asia",2007,70.6,65068149,7458.396327,65.068149
"1628","Uruguay","Americas",1987,71.9,3045153,7452.398969,3.045153
"156","Bosnia and Herzegovina","Europe",2007,74.9,4552198,7446.298803,4.552198
"785","Jamaica","Americas",1972,69,1997616,7433.889293,1.997616
"454","Ecuador","Americas",1997,72.3,11911819,7429.455877,11.911819
"1507","Taiwan","Asia",1982,72.2,18501390,7426.354774,18.50139
"982","Mauritius","Africa",1997,70.7,1149818,7425.705295,1.149818
"1212","Peru","Americas",2007,71.4,28674757,7408.905561,28.674757
"789","Jamaica","Americas",1992,71.8,2378618,7404.923685,2.378618
"1383","Slovenia","Europe",1962,69.2,1582962,7402.303395,1.582962
"1556","Trinidad and Tobago","Americas",1987,69.6,1191336,7388.597823,1.191336
"1557","Trinidad and Tobago","Americas",1992,69.9,1183669,7370.990932,1.183669
"1187","Panama","Americas",2002,74.7,2990875,7356.031934,2.990875
"1282","Romania","Europe",1997,69.7,22562458,7346.547557,22.562458
"792","Jamaica","Americas",2007,72.6,2780132,7320.880262,2.780132
"391","Cuba","Americas",1982,73.7,9789224,7316.918107,9.789224
"945","Malaysia","Asia",1992,70.7,18319502,7277.912802,18.319502
"685","Iceland","Europe",1952,72.5,147962,7267.688428,0.147962
"1343","Serbia","Europe",2002,73.2,10111559,7236.075251,10.111559
"729","Iran","Asia",1992,65.7,60397973,7235.653188,60.397973
"1413","South Africa","Africa",1992,61.9,39964159,7225.069258,39.964159
"451","Ecuador","Americas",1982,64.3,8365850,7213.791267,8.36585
"565","Germany","Europe",1952,67.5,69145952,7144.114393,69.145952
"51","Argentina","Americas",1962,65.1,21283783,7133.166023,21.283783
"790","Jamaica","Americas",1997,72.3,2531311,7121.924704,2.531311
"1408","South Africa","Africa",1967,51.9,20997321,7114.477971,20.997321
"1186","Panama","Americas",1997,73.7,2734531,7113.692252,2.734531
"1666","West Bank and Gaza","Asia",1997,71.1,2826046,7110.667619,2.826046
"759","Israel","Asia",1962,69.4,2310904,7105.630706,2.310904
"453","Ecuador","Americas",1992,69.6,10748394,7103.702595,10.748394
"1572","Tunisia","Africa",2007,73.9,10276158,7092.923025,10.276158
"1184","Panama","Americas",1987,71.5,2253639,7034.779161,2.253639
"175","Brazil","Americas",1982,63.3,128962939,7030.835878,128.962939
"529","France","Europe",1952,67.4,42459667,7029.809327,42.459667
"1183","Panama","Americas",1982,70.5,2036305,7009.601598,2.036305
"312","Colombia","Americas",2007,72.9,44227550,7006.580419,44.22755
"1017","Montenegro","Europe",1992,75.4,621621,7003.339037,0.621621
"791","Jamaica","Americas",2002,72,2664659,6994.774861,2.664659
"376","Croatia","Europe",1967,68.5,4174366,6960.297861,4.174366
"177","Brazil","Americas",1992,67.1,155975974,6950.283021,155.975974
"1252","Puerto Rico","Americas",1967,71.1,2648961,6929.277714,2.648961
"1627","Uruguay","Americas",1982,70.8,2953997,6920.223051,2.953997
"873","Lebanon","Asia",1992,69.3,3219994,6890.806854,3.219994
"397","Czech Republic","Europe",1952,66.9,9125183,6876.14025,9.125183
"456","Ecuador","Americas",2007,75,13755680,6873.262326,13.75568
"50","Argentina","Americas",1957,64.4,19610538,6856.856212,19.610538
"989","Mexico","Americas",1972,62.4,55984294,6809.40669,55.984294
"903","Libya","Africa",1962,47.8,1441863,6757.030816,1.441863
"450","Ecuador","Americas",1977,61.3,7278866,6679.62326,7.278866
"358","Costa Rica","Americas",1997,77.3,3518107,6677.045314,3.518107
"174","Brazil","Americas",1977,61.5,114313951,6660.118654,114.313951
"786","Jamaica","Americas",1977,70.1,2156814,6650.195573,2.156814
"728","Iran","Asia",1987,63,51889696,6642.881371,51.889696
"747","Ireland","Europe",1962,70.3,2830000,6631.597314,2.83
"543","Gabon","Africa",1962,40.5,455661,6631.459222,0.455661
"1553","Trinidad and Tobago","Americas",1972,65.9,975199,6619.551419,0.975199
"1185","Panama","Americas",1992,72.5,2484997,6618.74305,2.484997
"1582","Turkey","Europe",1997,68.8,63047647,6601.429915,63.047647
"1281","Romania","Europe",1992,69.4,22797027,6598.409903,22.797027
"185","Bulgaria","Europe",1972,70.9,8576200,6597.494398,8.5762
"795","Japan","Asia",1962,68.7,95831757,6576.649461,95.831757
"1019","Montenegro","Europe",2002,74,720230,6557.194282,0.72023
"1228","Poland","Europe",1967,69.6,31785378,6557.152776,31.785378
"1583","Turkey","Europe",2002,70.8,67308928,6508.085718,67.308928
"1626","Uruguay","Americas",1977,69.5,2873520,6504.339663,2.87352
"452","Ecuador","Americas",1987,67.2,9545158,6481.776993,9.545158
"1276","Romania","Europe",1967,66.8,19284814,6470.866545,19.284814
"1018","Montenegro","Europe",1997,75.4,692651,6465.613349,0.692651
"1309","Saudi Arabia","Asia",1952,39.9,4005677,6459.554823,4.005677
"1207","Peru","Americas",1982,61.4,18125129,6434.501797,18.125129
"517","Finland","Europe",1952,66.5,4090500,6424.519071,4.0905
"390","Cuba","Americas",1977,72.6,9537988,6380.494966,9.537988
"1240","Portugal","Europe",1967,66.6,9103000,6361.517993,9.103
"1208","Peru","Americas",1987,64.1,20195924,6360.943444,20.195924
"788","Jamaica","Americas",1987,71.8,2326606,6351.237495,2.326606
"395","Cuba","Americas",2002,77.2,11226999,6340.646683,11.226999
"1271","Reunion","Africa",2002,75.7,743981,6316.1652,0.743981
"189","Bulgaria","Europe",1992,71.2,8658506,6302.623438,8.658506
"1335","Serbia","Europe",1962,64.5,7616060,6289.629157,7.61606
"1206","Peru","Americas",1977,58.4,15990099,6281.290855,15.990099
"770","Italy","Europe",1957,67.8,49182000,6248.656232,49.182
"734","Iraq","Asia",1957,48.4,6248643,6229.333562,6.248643
"36","Algeria","Africa",2007,72.3,33333216,6223.367465,33.333216
"164","Botswana","Africa",1987,63.6,1151184,6205.88385,1.151184
"664","Hong Kong, China","Asia",1967,70,3722800,6197.962814,3.7228
"357","Costa Rica","Americas",1992,75.7,3173216,6160.416317,3.173216
"1622","Uruguay","Americas",1957,67,2424959,6150.772969,2.424959
"73","Austria","Europe",1952,66.8,6927772,6137.076492,6.927772
"784","Jamaica","Americas",1967,67.5,1861096,6124.703451,1.861096
"310","Colombia","Americas",1997,70.3,37657830,6117.361746,37.65783
"1269","Reunion","Africa",1992,73.6,622191,6101.255823,0.622191
"1370","Slovak Republic","Europe",1957,67.5,3844277,6093.26298,3.844277
"386","Cuba","Americas",1957,62.3,6640752,6092.174359,6.640752
"866","Lebanon","Asia",1957,59.5,1647412,6089.786934,1.647412
"1270","Reunion","Africa",1997,74.8,684810,6071.941411,0.68481
"787","Jamaica","Americas",1982,71.2,2298309,6068.05135,2.298309
"981","Mauritius","Africa",1992,69.7,1096202,6058.253846,1.096202
"674","Hungary","Europe",1957,66.4,9839000,6040.180011,9.839
"444","Dominican Republic","Americas",2007,72.2,9319622,6025.374752,9.319622
"155","Bosnia and Herzegovina","Europe",2002,74.1,4165416,6018.975239,4.165416
"1665","West Bank and Gaza","Asia",1992,69.7,2104779,6017.654756,2.104779
"591","Greece","Europe",1962,69.5,8448233,6017.190733,8.448233
"868","Lebanon","Asia",1967,63.9,2186894,6006.983042,2.186894
"190","Bulgaria","Europe",1997,70.3,8066057,5970.38876,8.066057
"1205","Peru","Americas",1972,55.4,13954700,5937.827283,13.9547
"24","Albania","Europe",2007,76.4,3600523,5937.029526,3.600523
"354","Costa Rica","Americas",1977,70.8,2108457,5926.876967,2.108457
"1535","Thailand","Asia",2002,68.6,62806748,5913.187529,62.806748
"49","Argentina","Americas",1952,62.5,17876956,5911.315053,17.876956
"1211","Peru","Americas",2002,69.9,26769436,5909.020073,26.769436
"1012","Montenegro","Europe",1967,67.2,501035,5907.850937,0.501035
"724","Iran","Asia",1967,52.5,26538000,5906.731805,26.538
"1382","Slovenia","Europe",1957,67.8,1533070,5862.276629,1.53307
"1534","Thailand","Asia",1997,67.5,60216677,5852.625497,60.216677
"1210","Peru","Americas",1997,68.4,24748122,5838.347657,24.748122
"1204","Peru","Americas",1967,51.4,12132200,5788.09333,12.1322
"455","Ecuador","Americas",2002,74.2,12921234,5773.044512,12.921234
"1407","South Africa","Africa",1962,50,18356657,5768.729717,18.356657
"311","Colombia","Americas",2002,71.7,41008227,5755.259962,41.008227
"988","Mexico","Americas",1967,60.1,47995559,5754.733883,47.995559
"31","Algeria","Africa",1982,61.4,20033753,5745.160213,20.033753
"480","El Salvador","Americas",2007,71.9,6939688,5728.353514,6.939688
"1571","Tunisia","Africa",2002,73,9770575,5722.895655,9.770575
"1621","Uruguay","Americas",1952,66.1,2252965,5716.766744,2.252965
"867","Lebanon","Asia",1962,62.1,1886848,5714.560611,1.886848
"1625","Uruguay","Americas",1972,68.7,2829526,5703.408898,2.829526
"1419","Spain","Europe",1962,69.7,31158061,5693.843879,31.158061
"388","Cuba","Americas",1967,68.3,8139332,5690.268015,8.139332
"32","Algeria","Africa",1987,65.8,23254956,5681.358539,23.254956
"1581","Turkey","Europe",1992,66.1,58179144,5678.348271,58.179144
"356","Costa Rica","Americas",1987,74.8,2799811,5629.915318,2.799811
"847","Korea, Rep.","Asia",1982,67.1,39326000,5622.942464,39.326
"1552","Trinidad and Tobago","Americas",1967,65.4,960155,5621.368472,0.960155
"1623","Uruguay","Americas",1962,68.3,2598466,5603.357717,2.598466
"746","Ireland","Europe",1957,68.9,2878220,5599.077872,2.87822
"1506","Taiwan","Asia",1977,70.6,16785196,5596.519826,16.785196
"393","Cuba","Americas",1992,74.4,10723260,5592.843963,10.72326
"385","Cuba","Americas",1952,59.4,6007797,5586.53878,6.007797
"468","Egypt","Africa",2007,71.3,80264543,5581.180998,80.264543
"184","Bulgaria","Europe",1967,70.4,8310226,5577.0028,8.310226
"284","Chile","Americas",1987,72.5,12463354,5547.063754,12.463354
"40","Angola","Africa",1967,36,5247469,5522.776375,5.247469
"281","Chile","Americas",1972,63.4,9717524,5494.024437,9.717524
"1406","South Africa","Africa",1957,48,16151549,5487.104219,16.151549
"1110","Nicaragua","Americas",1977,57.5,2554598,5486.371089,2.554598
"375","Croatia","Europe",1962,67.1,4076557,5477.890018,4.076557
"41","Angola","Africa",1972,37.9,5894858,5473.288005,5.894858
"309","Colombia","Americas",1992,68.4,34202721,5444.648617,34.202721
"1624","Uruguay","Americas",1967,68.5,2748579,5444.61962,2.748579
"394","Cuba","Americas",1997,76.2,10983007,5431.990415,10.983007
"758","Israel","Asia",1957,67.8,1944401,5385.278451,1.944401
"872","Lebanon","Asia",1987,67.9,3089353,5377.091329,3.089353
"1181","Panama","Americas",1972,66.2,1616384,5364.249663,1.616384
"1182","Panama","Americas",1977,68.7,1839782,5351.912144,1.839782
"479","El Salvador","Americas",2002,70.7,6353681,5351.568666,6.353681
"1227","Poland","Europe",1962,67.6,30329617,5338.752143,30.329617
"389","Cuba","Americas",1972,70.7,8831348,5305.445256,8.831348
"1268","Reunion","Africa",1987,71.9,562035,5303.377488,0.562035
"35","Algeria","Africa",2002,71,31287142,5288.040382,31.287142
"449","Ecuador","Americas",1972,58.8,6298651,5280.99471,6.298651
"1267","Reunion","Africa",1982,69.9,517810,5267.219353,0.51781
"673","Hungary","Europe",1952,64,9504000,5263.673816,9.504
"355","Costa Rica","Americas",1982,73.5,2424367,5262.734751,2.424367
"944","Malaysia","Asia",1987,69.5,16331785,5249.802653,16.331785
"783","Jamaica","Americas",1962,65.6,1665128,5246.107524,1.665128
"745","Ireland","Europe",1952,66.9,2952156,5210.280328,2.952156
"612","Guatemala","Americas",2007,70.3,12572928,5186.050003,12.572928
"387","Cuba","Americas",1962,65.2,7254373,5180.75591,7.254373
"478","El Salvador","Americas",1997,69.5,5783439,5154.825496,5.783439
"474","El Salvador","Americas",1977,56.7,4282586,5138.922374,4.282586
"353","Costa Rica","Americas",1972,67.8,1834796,5118.146939,1.834796
"1251","Puerto Rico","Americas",1962,69.6,2448046,5108.34463,2.448046
"1664","West Bank and Gaza","Asia",1987,67,1691210,5107.197384,1.69121
"280","Chile","Americas",1967,60.5,8858908,5106.654313,8.858908
"283","Chile","Americas",1982,70.6,11487112,5095.665738,11.487112
"1580","Turkey","Europe",1987,63.1,52881328,5089.043686,52.881328
"1369","Slovak Republic","Europe",1952,64.4,3558137,5074.659104,3.558137
"1265","Reunion","Africa",1972,64.3,461633,5047.658563,0.461633
"33","Algeria","Africa",1992,67.7,26298373,5023.216647,26.298373
"1551","Trinidad and Tobago","Americas",1962,64.9,887498,4997.523971,0.887498
"173","Brazil","Americas",1972,59.5,100840058,4985.711467,100.840058
"1334","Serbia","Europe",1957,61.7,7271135,4981.090891,7.271135
"1360","Singapore","Asia",1967,67.9,1977600,4977.41854,1.9776
"542","Gabon","Africa",1957,39,434904,4976.198099,0.434904
"300","China","Asia",2007,73,1318683096,4959.114854,1318.683096
"1203","Peru","Americas",1962,49.1,10516500,4957.037982,10.5165
"769","Italy","Europe",1952,65.9,47666000,4931.404155,47.666
"943","Malaysia","Asia",1982,68,14441916,4920.355951,14.441916
"590","Greece","Europe",1957,67.9,8096218,4916.299889,8.096218
"30","Algeria","Africa",1977,58,17152804,4910.416756,17.152804
"308","Colombia","Americas",1987,67.8,30964245,4903.2191,30.964245
"606","Guatemala","Americas",1977,56,5703430,4879.992748,5.70343
"343","Congo, Rep.","Africa",1982,56.7,1774735,4879.507522,1.774735
"1570","Tunisia","Africa",1997,72,9231669,4876.798614,9.231669
"611","Guatemala","Americas",2002,69,11178650,4858.347495,11.17865
"865","Lebanon","Asia",1952,55.9,1439529,4834.804067,1.439529
"607","Guatemala","Americas",1982,58.1,6395630,4820.49479,6.39563
"1068","Namibia","Africa",2007,52.9,2055080,4811.060429,2.05508
"34","Algeria","Africa",1997,69.2,29072015,4797.295051,29.072015
"48","Angola","Africa",2007,42.7,12420476,4797.231267,12.420476
"980","Mauritius","Africa",1987,68.7,1042663,4783.586903,1.042663
"154","Bosnia and Herzegovina","Europe",1997,73.2,3607000,4766.355904,3.607
"282","Chile","Americas",1977,67.1,10599793,4756.763836,10.599793
"782","Jamaica","Americas",1957,62.6,1535090,4756.525781,1.53509
"467","Egypt","Africa",2002,69.8,73312559,4754.604414,73.312559
"1275","Romania","Europe",1962,66.8,18680721,4734.997586,18.680721
"1226","Poland","Europe",1957,65.8,28235346,4734.253019,28.235346
"1239","Portugal","Europe",1962,64.4,9019800,4727.954889,9.0198
"1405","South Africa","Africa",1952,45,14264935,4725.295531,14.264935
"1156","Oman","Asia",1967,47,714775,4720.942687,0.714775
"663","Hong Kong, China","Asia",1962,67.7,3305200,4692.648272,3.3052
"1109","Nicaragua","Americas",1972,55.2,2182908,4688.593267,2.182908
"610","Guatemala","Americas",1997,66.3,9803875,4684.313807,9.803875
"846","Korea, Rep.","Asia",1977,64.8,36436000,4657.22102,36.436
"1011","Montenegro","Europe",1962,63.7,474528,4649.593785,0.474528
"1108","Nicaragua","Americas",1967,51.9,1865490,4643.393534,1.86549
"1533","Thailand","Asia",1992,67.3,56667095,4616.896545,56.667095
"23","Albania","Europe",2002,75.7,3508512,4604.211737,3.508512
"987","Mexico","Americas",1962,58.3,41121485,4581.609385,41.121485
"448","Ecuador","Americas",1967,56.7,5432424,4579.074215,5.432424
"1418","Spain","Europe",1957,66.7,29841614,4564.80241,29.841614
"443","Dominican Republic","Americas",2002,70.8,8650322,4563.808154,8.650322
"163","Botswana","Africa",1982,61.5,970347,4551.14215,0.970347
"473","El Salvador","Americas",1972,58.2,3790903,4520.246008,3.790903
"816","Jordan","Asia",2007,72.5,6053193,4519.461171,6.053193
"279","Chile","Americas",1962,57.9,7961258,4519.094331,7.961258
"1667","West Bank and Gaza","Asia",2002,72.4,3389578,4515.487575,3.389578
"1464","Swaziland","Africa",2007,39.6,1133066,4513.480643,1.133066
"744","Iraq","Asia",2007,59.5,27499638,4471.061906,27.499638
"812","Jordan","Asia",1987,65.9,2820042,4448.679912,2.820042
"1209","Peru","Americas",1992,66.5,22430449,4446.380924,22.430449
"477","El Salvador","Americas",1992,66.8,5274649,4444.2317,5.274649
"609","Guatemala","Americas",1992,63.4,8486949,4439.45084,8.486949
"1180","Panama","Americas",1967,64.1,1405486,4421.009084,1.405486
"307","Colombia","Americas",1982,66.7,27764644,4397.575659,27.764644
"743","Iraq","Asia",2002,57,24001816,4390.717312,24.001816
"472","El Salvador","Americas",1967,55.9,3232927,4358.595393,3.232927
"374","Croatia","Europe",1957,64.8,3991242,4338.231617,3.991242
"1663","West Bank and Gaza","Asia",1982,64.4,1425876,4336.032082,1.425876
"1569","Tunisia","Africa",1992,70,8523077,4332.720164,8.523077
"1266","Reunion","Africa",1977,67.1,492095,4319.804067,0.492095
"794","Japan","Asia",1957,65.5,91563009,4317.694365,91.563009
"278","Chile","Americas",1957,56.1,7048426,4315.622723,7.048426
"152","Bosnia and Herzegovina","Europe",1987,71.1,4338977,4314.114757,4.338977
"541","Gabon","Africa",1952,37,420702,4293.476475,0.420702
"39","Angola","Africa",1962,34,4826015,4269.276742,4.826015
"1578","Turkey","Europe",1977,59.5,42404033,4269.122326,42.404033
"1195","Paraguay","Americas",1982,66.9,3366439,4258.503604,3.366439
"183","Bulgaria","Europe",1962,69.5,8012946,4254.337839,8.012946
"1198","Paraguay","Americas",1997,69.4,5154123,4247.400261,5.154123
"608","Guatemala","Americas",1987,60.8,7326406,4246.485974,7.326406
"1202","Peru","Americas",1957,46.3,9146100,4245.256698,9.1461
"1579","Turkey","Europe",1982,61,47328791,4241.356344,47.328791
"1381","Slovenia","Europe",1952,65.6,1489518,4215.041741,1.489518
"344","Congo, Rep.","Africa",1987,57.5,2064095,4201.194937,2.064095
"1197","Paraguay","Americas",1992,68.2,4483945,4196.411078,4.483945
"1063","Namibia","Africa",1982,59,1099010,4191.100511,1.09901
"723","Iran","Asia",1962,49.3,22874000,4187.329802,22.874
"1500","Syria","Asia",2007,74.1,19314747,4184.548089,19.314747
"29","Algeria","Africa",1972,54.5,14760787,4182.663766,14.760787
"466","Egypt","Africa",1997,67.2,66134291,4173.181797,66.134291
"1200","Paraguay","Americas",2007,71.8,6667147,4172.838464,6.667147
"352","Costa Rica","Americas",1967,65.4,1588717,4161.727834,1.588717
"811","Jordan","Asia",1982,63.7,2347031,4161.415959,2.347031
"476","El Salvador","Americas",1987,63.2,4842194,4140.442097,4.842194
"986","Mexico","Americas",1957,55.2,35015548,4131.546641,35.015548
"733","Iraq","Asia",1952,45.3,5441766,4129.766056,5.441766
"1463","Swaziland","Africa",2002,43.9,1130269,4128.116943,1.130269
"151","Bosnia and Herzegovina","Europe",1982,70.7,4172693,4126.613157,4.172693
"835","Korea, Dem. Rep.","Asia",1982,69.1,17647518,4106.525293,17.647518
"836","Korea, Dem. Rep.","Asia",1987,70.6,19067554,4106.492315,19.067554
"834","Korea, Dem. Rep.","Asia",1977,67.2,16325320,4106.301249,16.32532
"1550","Trinidad and Tobago","Americas",1957,61.8,764900,4100.3934,0.7649
"475","El Salvador","Americas",1982,56.6,4474873,4098.344175,4.474873
"1499","Syria","Asia",2002,73.1,17155814,4090.925331,17.155814
"757","Israel","Asia",1952,65.4,1620914,4086.522128,1.620914
"447","Ecuador","Americas",1962,54.6,4681707,4086.114078,4.681707
"1067","Namibia","Africa",2002,51.5,1972153,4072.324751,1.972153
"1505","Taiwan","Asia",1972,69.4,15226039,4062.523897,15.226039
"605","Guatemala","Americas",1972,53.7,5149581,4031.408271,5.149581
"1225","Poland","Europe",1952,61.3,25730551,4029.329699,25.730551
"1264","Reunion","Africa",1967,60.5,414024,4021.175739,0.414024
"345","Congo, Rep.","Africa",1992,56.4,2409073,4016.239529,2.409073
"1498","Syria","Asia",1997,71.5,15081016,4014.238972,15.081016
"1196","Paraguay","Americas",1987,67.4,3886512,3998.875695,3.886512
"1460","Swaziland","Africa",1987,57.7,779348,3984.839812,0.779348
"1440","Sri Lanka","Asia",2007,72.4,20378239,3970.095407,20.378239
"1274","Romania","Europe",1957,64.1,17829327,3943.370225,17.829327
"277","Chile","Americas",1952,54.7,6377619,3939.978789,6.377619
"1250","Puerto Rico","Americas",1957,68.5,2260000,3907.156189,2.26
"1066","Namibia","Africa",1997,58.9,1774766,3899.52426,1.774766
"1459","Swaziland","Africa",1982,55.6,649901,3895.384018,0.649901
"464","Egypt","Africa",1987,59.8,52799062,3885.46071,52.799062
